id|nat|tipo|materia|nomeNovo
401|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
402|01 - Juridico|Acordaos e decisoes|Administrativo|Sentenca Mandado Seguranca 2010.4.01.3800 Educacao
403|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
404|03 - Administrativo||Listas e planilhas|Log Cartorio Protesto Titulos 2014
405|01 - Juridico|Acordaos e decisoes|Civel|Sentenca Embargos Execucao 2006.38.00.020759-9
406|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
407|01 - Juridico|Acordaos e decisoes|Eleitoral|Acordao Recurso Especial Eleitoral 355-73.2012.6.12.0025
408|01 - Juridico|Acordaos e decisoes|Ambiental|Sentenca Acao Ordinaria 2009.38.00.019822-7 IBAMA
409|01 - Juridico|Acordaos e decisoes|Trabalhista|Sentenca Processos Trabalhistas Diversos 2343 2315 2312
410|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
411|01 - Juridico|Acordaos e decisoes|Civel|Sentenca Acao Ordinaria 2003.38.00.071034-8
412|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
413|01 - Juridico|Acordaos e decisoes|Administrativo|Sentenca Acao Ordinaria 2010.38.00.007074-2
414|03 - Administrativo||Listas e planilhas|Log Cartorio Protesto Titulos 2016
415|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
416|05 - Diversos (a revisar)||Outros|Homenagem Aniversario
417|02 - Estudos e concursos||Direito Administrativo|Pesquisa Corrupcao Bruno Wilhelm Speck
418|01 - Juridico|Acordaos e decisoes|Administrativo|Sentenca Mandado Seguranca 2008.38.00.016873-8
419|02 - Estudos e concursos||Portugues|Material Aula Verbo Alemao
420|05 - Diversos (a revisar)||Outros|Relato Despedida Colega Trabalho
421|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
422|01 - Juridico|Acordaos e decisoes|Civel|Sentenca Acao Reintegracao Manutencao Posse 1048-89.2011.4.01.3800
423|02 - Estudos e concursos||Direito Administrativo|Trabalho Academico Direito Administrativo UFMG 2011
424|01 - Juridico|Acordaos e decisoes|Civel|Sentenca Acao Ordinaria 2004.38.00.051706-5 SFH
425|01 - Juridico|Acordaos e decisoes|Tributario|Sentenca Mandado Seguranca 2005.38.00.022984-0 Creditamento IPI
426|01 - Juridico|Acordaos e decisoes|Civel|Sentenca Acao Ordinaria 2008.38.00.004921-8 SFH
427|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
428|03 - Administrativo||Listas e planilhas|Log Cartorio Protesto Titulos 2014
429|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
430|05 - Diversos (a revisar)||Outros|Tabela Servicos Hotel Royal Tulip
431|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
432|01 - Juridico|Peticoes|Administrativo|Peticion Processo 50990-36.2010.4.01.3400 ECT Shazam
433|01 - Juridico|Acordaos e decisoes|Civel|Sentenca Acao Ordinaria 2009.38.00.009992-9 SFH
434|01 - Juridico|Peticoes|Trabalhista|Parecer Tecnico Execucao Sentenca ECT PCCS 2013
435|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
436|03 - Administrativo||Listas e planilhas|Edital Praca Cumprimento Sentenca Imovel Belo Horizonte
437|03 - Administrativo||Listas e planilhas|Planilha Transporte Logistica Via Express 2013
438|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
439|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
440|03 - Administrativo||Listas e planilhas|Log Cartorio Protesto Titulos 2014
