id|nat|tipo|materia|nomeNovo
2081|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
2082|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
2083|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
2084|04 - Pessoal e financeiro||Outros|email conta suspensa Mercado Livre 26 09 2017
2085|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
2086|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
2087|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
2088|02 - Estudos e concursos||Atualidades e Outros|resumo gramatica germanica subordinadas relativas
2089|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
2090|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
2091|03 - Administrativo||Outros|log transferencia arquivo cartorio brazopolis 01 06 2015
2092|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
2093|01 - Juridico|Pareceres e notas tecnicas|Trabalhista|parecer contribuicao sindical profissionais liberais
2094|03 - Administrativo||Outros|plano carreiras cargos salarios ECT medico
2095|03 - Administrativo||Outros|log transferencia arquivo cartorio brazopolis 14 01 2015
2096|01 - Juridico|Acordaos e decisoes|Tributario|SENTENCA acao ordinaria 2007.38.00.039620-7 Missao Ramacrisna Uniao Tributario 2007
2097|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
2098|01 - Juridico|Manifestacoes e contestacoes|Trabalhista|CONTRARRAZOES reclama trabalhista 01015-2011-106-03-00-6 EBCT Jose Eustaquio Ribeiro 2011
2099|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
2100|03 - Administrativo||Outros|log transferencia arquivo cartorio brazopolis 14 01 2016
2101|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
2102|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
2103|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
2104|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
2105|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
2106|01 - Juridico||Eleitoral|relatorio lista processos elei cao Tribunal Superior Eleitoral 2015
2107|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
2108|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
2109|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
2110|01 - Juridico|Pareceres e notas tecnicas|Administrativo|lei complementar 76 1993 desapropriacao imovel rural reforma agraria
2111|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
2112|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
2113|01 - Juridico|Acordaos e decisoes|Trabalhista|acordao 7 turma TST recursos revista ECT Banco Bradesco bancario
2114|01 - Juridico|Contestacoes e manifestacoes|Trabalhista|CONTESTACAO reclama trabalhista 01619-2007-020-03-00-4 EBCT Alex Douglas Silva Meira 2007
2115|03 - Administrativo||Outros|registro protesto duplica cao DMI 1530804 20 01 2014
2116|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
2117|05 - Diversos (a revisar)||Outros|arquivo tecnico ilegivel
2118|01 - Juridico|Acordaos e decisoes|Administrativo|SENTENCA execu cao Fazenda Publica 00.00.08110-8 UFMG 2008
2119|03 - Administrativo||Outros|log transferencia arquivo cartorio brazopolis 28 01 2015
2120|01 - Juridico|Pareceres e notas tecnicas|Constitucional|Constituicao 1988 Republica Federativa Brasil preambulo
