id|categoria
71|Contrato
72|Financiamento
73|Financiamento
74|Financiamento
75|Financiamento
76|Financiamento
77|Financiamento
78|Financiamento
79|Financiamento
80|Outros
81|Financiamento
82|Financiamento
83|Financiamento
84|Financiamento
85|Financiamento
86|Financiamento
87|Financiamento
88|Certidoes
89|Outros
90|Contrato
91|Comprovantes
92|Comprovantes
93|Outros
94|Outros
95|Prospeccao
96|Financiamento
97|Financiamento
98|Financiamento
99|Financiamento
100|Financiamento
101|Financiamento
102|Financiamento
103|Financiamento
104|Financiamento
105|Financiamento
106|Financiamento
107|Financiamento
108|Financiamento
109|Financiamento
110|Contrato
111|Outros
112|Comprovantes
113|Prospeccao
114|Prospeccao
115|Prospeccao
116|Outros
117|Prospeccao
118|Prospeccao
119|Prospeccao
120|Prospeccao
121|Prospeccao
122|Outros
123|Prospeccao
124|Prospeccao
125|Prospeccao
126|Prospeccao
127|Prospeccao
128|Prospeccao
129|Prospeccao
130|Outros
131|Outros
