id|nat|tipo|materia|nomeNovo
4751|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional 7-11
4752|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional 7-12
4753|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional 7-2
4754|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional 7-3
4755|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional 7-4
4756|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional 7-6 v1
4757|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional 7-6 v2
4758|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional 7-6
4759|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional 8-11
4760|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional 8-3 extra
4761|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional 8-3
4762|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional 8-8
4763|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional 8-9
4764|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional 8-9
4765|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional 9-11
4766|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional 9-2
4767|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional 9-3
4768|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional 9-4-1
4769|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional 9-4-11
4770|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional 9-4
4771|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional 9-6
4772|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional 9-8
4773|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional com ementas 15-9
4774|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional com ementas 3-9
4775|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional completa 10-10
4776|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional completa 10-3
4777|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional completa 10-8
4778|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional completa 11-5
4779|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional completa 11-6
4780|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional completa 12-12
4781|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional completa 12-5
4782|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional completa 12-9
4783|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional completa 13-10
4784|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional completa 13-6
4785|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional completa 13-8
4786|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional completa 14-11
4787|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional completa 14-2
4788|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional completa 14-3
4789|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional completa 14-4
4790|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional completa 14-5
4791|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional completa 15-8
4792|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional completa 15-9
4793|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional completa 16-3
4794|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional completa 16-4
4795|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional completa 16-5 versao final
4796|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional completa 16-6
4797|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional completa 17-10
4798|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional completa 17-3
4799|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional completa 17-8
4800|01 - Jurídico|Outros processuais|Eleitoral|pauta jurisdicional completa 18-12 extra
