id|nat|tipo|materia|nomeNovo
1|02 - Estudos e concursos||Atualidades e Outros|EA prova 3 analista fiscal CGU 2003 - gabarito
2|02 - Estudos e concursos||Atualidades e Outros|EA prova 3 analista fiscal CGU 2003
3|02 - Estudos e concursos||Direito Internacional|EBA-Op-2014-08 - opinion on virtual currencies
4|02 - Estudos e concursos||Atualidades e Outros|ebook 35 dicas
5|02 - Estudos e concursos||Direito Constitucional|EC 23-83 e 21-83 - problemas e consequencias da compatibilizacao - Roberto Moreira
6|02 - Estudos e concursos||Direito Constitucional|EC 45 2004 - honorarios advocaticios
7|02 - Estudos e concursos||Atualidades e Outros|ECA - Estatuto da Crianca e do Adolescente
8|02 - Estudos e concursos||Atualidades e Outros|economia - Mozart Foschete - elasticidade
9|02 - Estudos e concursos||Atualidades e Outros|economia e financas para APO MPOG aula 0 - Francisco Mariotti
10|02 - Estudos e concursos||Atualidades e Outros|economia e financas para APO MPOG aula 2 - Francisco Mariotti
11|02 - Estudos e concursos||Atualidades e Outros|economia e financas para APO MPOG aula 3 - Francisco Mariotti
12|02 - Estudos e concursos||Atualidades e Outros|economia e financas para APO MPOG aula 4 - Francisco Mariotti
13|02 - Estudos e concursos||Atualidades e Outros|economia e financas para APO MPOG aula 5 - Francisco Mariotti
14|02 - Estudos e concursos||Atualidades e Outros|economia e financas para APO MPOG aula 6 - Francisco Mariotti
15|02 - Estudos e concursos||Atualidades e Outros|economia em exercicios APO MPOG - Marlos Ferreira - aula 0 (geral)
16|02 - Estudos e concursos||Atualidades e Outros|economia em exercicios APO MPOG - Marlos Ferreira - aula 0
17|02 - Estudos e concursos||Atualidades e Outros|economia em exercicios APO MPOG - Marlos Ferreira - aula 1 (micro)
18|02 - Estudos e concursos||Atualidades e Outros|economia em exercicios APO MPOG - Marlos Ferreira - aula 1
19|02 - Estudos e concursos||Atualidades e Outros|economia em exercicios APO MPOG - Marlos Ferreira - aula 2
20|02 - Estudos e concursos||Atualidades e Outros|economia em exercicios APO MPOG - Marlos Ferreira - aula 3
21|02 - Estudos e concursos||Atualidades e Outros|economia em exercicios APO MPOG - Marlos Ferreira - aula 4
22|02 - Estudos e concursos||Atualidades e Outros|economia em exercicios APO MPOG - Marlos Ferreira - aula 5
23|02 - Estudos e concursos||Atualidades e Outros|economia II - Ponto dos Concursos - Mozart Foschete - aula 08 parte II
24|02 - Estudos e concursos||Atualidades e Outros|economia II - Ponto dos Concursos - Mozart Foschete - aulas 01 a 07
25|02 - Estudos e concursos||Atualidades e Outros|economia
26|02 - Estudos e concursos||Atualidades e Outros|economia material 01 (contas nacionais)
27|02 - Estudos e concursos||Atualidades e Outros|economia material 02 (modelo keynesiano)
28|02 - Estudos e concursos||Atualidades e Outros|economia material 03 (sistema monetario)
29|02 - Estudos e concursos||Atualidades e Outros|economia material 04 (modelo IS-LM)
30|02 - Estudos e concursos||Atualidades e Outros|economia material 06 (teoria da inflacao)
31|02 - Estudos e concursos||Atualidades e Outros|economia material 07 (economia intertemporal - equivalencia ricardiana)
32|02 - Estudos e concursos||Atualidades e Outros|economia questoes 01
33|02 - Estudos e concursos||Atualidades e Outros|economia questoes 02
34|02 - Estudos e concursos||Atualidades e Outros|economia questoes 03
35|02 - Estudos e concursos||Atualidades e Outros|economia questoes 04
36|02 - Estudos e concursos||Atualidades e Outros|economia slides 01 (contas nacionais)
37|02 - Estudos e concursos||Atualidades e Outros|economia tabela 01
38|02 - Estudos e concursos||Direito Eleitoral|ED-AI 289052 - MG - usurpacao - admissibilidade - Sumula 283 STF - jul 2016 - AAS
39|02 - Estudos e concursos||Direito Eleitoral|ED-AgR-AI 117425 - SP - AIJE - Sumula 24 - nao ha vicios - rejeitados - TCCB - GTBC - MFF
40|02 - Estudos e concursos||Direito Eleitoral|ED-AgR-REspe 12423 - CE - alinea g - decreto - data publicacao - controversia - decurso prazo inelegibilidade - Sumula 70 - efeito modificativo - provimento - mai 2017 - AVB
41|02 - Estudos e concursos||Direito Eleitoral|ED-AI 6580 - CE - embargos de declaracao - repeticao de REspe - ausencia de dialeticidade - Sumula 27 - nao conhecimento - mai 2018 - MACV - LL
42|02 - Estudos e concursos||Direito Eleitoral|ED-AI 6580 - CE - embargos de declaracao - repeticao de REspe - ausencia de dialeticidade - Sumula 27 - nao conhecimento - mai 2018 - MACV
43|02 - Estudos e concursos||Direito Eleitoral|ED-REspe 308-14 - MG - ED contra decisao monocratica - inovacao de tese - preclusao - modelo pelo nao conhecimento - mar - RMG - BF
44|02 - Estudos e concursos||Direito Eleitoral|ED-REspe 308-146 - MG - ED contra decisao monocratica - ausencia de omissao - inovacao de tese - preclusao - mar
45|02 - Estudos e concursos||Atualidades e Outros|ED 10 2015 TJDFT 15 juiz - gabaritos preliminares
46|02 - Estudos e concursos||Direito Administrativo|Edesio Fernandes - a nova ordem juridico-urbanistica no Brasil
47|02 - Estudos e concursos||Direito Administrativo|EFAM - a autonomia constitucional da responsabilidade administrativa por improbidade - Elci Simoes de Oliveira
48|02 - Estudos e concursos||Direito Eleitoral|electoral justice - the International IDEA handbook
49|02 - Estudos e concursos||Direito Eleitoral|eleitoral - seminario acoes afirmativas - Jessica Guedes
