row_number,numero_processo,tema,before_ramo,after_ramo,before_subramo,after_subramo,method,reason,llm_error
2,0003573-37.2012.4.01.3500,Servidor público e cessação de adicional de periculosidade pela designação para atividade sem exposição habitual ao risco,Direito Administrativo,Direito Administrativo,"Direito Previdenciario, Direito do Trabalho","Direito Previdenciário, Direito do Trabalho",baseline,,
19,0040010-04.2012.4.01.0000,Restituição integral de prazo processual em razão de doença do advogado único constitutiva de justa causa para afastamento de intempestividade,Processual Civil,Direito Processual Civil,"Direito Processual de Recursos, Processo Civil","Direito Processual de Recursos, Processo Civil",baseline,,
44,0045013-37.2012.4.01.0000,Concessão de justiça gratuita a pessoa jurídica e exigência de prova concreta de insuficiência financeira diante de dívida tributária e execução fiscal,Direito Processual Civil,Direito Processual Civil,"Processo Civil, Processo Tributário","Processo Civil, Processual Tributário",baseline,,
45,0056462-89.2012.4.01.0000,"Aplicação da fungibilidade recursal em agravo de instrumento interposto diretamente no tribunal diante de erro grosseiro do patrono e ausência de má-fé, analisando requisitos e lim",Processual Civil,Direito Processual Civil,"Procedimento, Recursos","Procedimento, Recursos",baseline,,
46,0069715-47.2012.4.01.0000,Cabimento e limites da exceção de pré-executividade na execução fiscal frente a alegação de compensação baseada em crédito de terceiro que exige dilação probatória,Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
60,0020867-92.2013.4.01.0000,Possibilidade de reiteração de diligência via BacenJud após decurso de um ano sem fato novo e limites da razoabilidade para evitar medidas repetitivas abusivas,Processual,Direito Processual,"Processo Civil, Processo de Execução","Processo Civil, Processo de Execução",baseline,,
65,1035161-59.2018.4.01.0000,"Incidência de honorários advocatícios na fase de cumprimento de sentença de mandado de segurança envolvendo ente público e aplicação do art. 85, §1º do CPC/2015",Processual,Direito Processual,"Mandado de Segurança, Processo Civil","Mandado de Segurança, Processo Civil",baseline,,
66,1016019-69.2018.4.01.0000,Incidência de honorários advocatícios na fase de cumprimento de sentença contra a Fazenda Pública por débitos de pequeno valor ajuizados após MP 2.180‑35/2001 e não impugnados,Processual Civil,Direito Processual Civil,"Honorários Advocatícios, Processo de Execução","Honorários Advocatícios, Processo de Execução",baseline,,
87,0002022-02.2015.4.01.3505,Responsabilidade pela condenação em honorários quando crédito tributário decorre de erro do contribuinte no preenchimento de DCTF e aplicação do princípio da causalidade,Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
89,0056214-55.2014.4.01.0000,"Admissibilidade de penhora sobre percentual da arrecadação mensal de condomínio devedor após esgotadas diligências para localização de bens penhoráveis, sem comprometer a atividade",Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
91,1000260-07.2019.4.01.9999,"Incidência do art. 40 da Lei 6.830/1980 e suspensão com arquivamento provisório em execução fiscal sem prévia intimação, afastando extinção por abandono",Processual Civil,Direito Processual Civil,"Processo Civil Geral, Processo de Execução Fiscal","Processo Civil Geral, Processo de Execução Fiscal",baseline,,
108,1039879-65.2019.4.01.0000,Atribuição de efeito suspensivo pelo relator à apelação inaudita altera parte em ação civil pública para evitar prolação de sentença extra petita sem intervenção ministerial prévia,Processual Civil,Direito Processual Civil,"Recursos, Tutela Provisória","Recursos, Tutela Provisória",baseline,,
131,002668-22.2013.4.01.0000,"Impedimento de medidas assecuratórias sobre bens da fazenda municipal em razão da indisponibilidade patrimonial e da presunção de solvabilidade, com observância dos requisitos lega",Direito Tributário,Direito Tributário,"Direito Administrativo, Processo Tributário","Direito Administrativo, Processual Tributário",baseline,,
147,1005958-55.2018.4.01.3200,Prescrição do direito de repetição de PIS/Cofins sobre mercadorias nacionais e necessidade probatória para compensação administrativa ou restituição judicial,Direito Tributário,Direito Tributário,"Processo Tributário, Tributário Material","Processual Tributário, Tributário Material",baseline,,
148,0016756-87.2008.4.01.3800,"Embargos à execução resolvidos pela concordância da parte contrária quanto aos cálculos apresentados, discutindo procedência tácita e condenação em honorários advocatícios pelo pri",Processual Civil,Direito Processual Civil,"Execução Civil, Processo de Conhecimento","Execução Civil, Processo de Conhecimento",baseline,,
149,0016968-26.2012.4.01.3200,Direito tributário sobre expedição de certidão de regularidade fiscal para filial com CNPJ distinto diante do cumprimento dos requisitos legais do CTN,Direito Tributário,Direito Tributário,"Direito Tributário Material, Processo Tributário","Direito Tributário Material, Processual Tributário",baseline,,
150,0010259-27.2011.4.01.3000,Parcelamento tributário: impugnação da declaração de intempestividade administrativa em razão de falha técnica no sistema e aplicação dos princípios da razoabilidade e proporcional,Direito Tributário,Direito Tributário,"Direito Tributário Material, Processo Tributário","Direito Tributário Material, Processual Tributário",baseline,,
151,0004197-52.1999.4.01.3400,"Reconhecimento do crédito‑prêmio do IPI sem juntada integral de documentos na inicial, exigindo liquidação por artigos para apuração do quantum debeatur e prova de exportação",Direito Tributário,Direito Tributário,"Processo Tributário, Tributação indireta","Processual Tributário, Tributação indireta",baseline,,
202,1000479-70.2017.4.01.3603,Suspeição do juiz em ação de desapropriação para reforma agrária por alegada inimizade e ausência de elementos concretos que comprovem parcialidade processual,Processual Civil,Direito Processual Civil,"Direito Agrário, Processo Civil","Direito Agrário, Processo Civil",baseline,,
210,1007942-08.2017.4.01.0000,Admissibilidade de intimação por carta a representante da Fazenda Pública conforme art. 6º da Lei 9.028/1995 quando ausente representação judicial na subseção,Processual,Direito Processual,"Processo Administrativo, Processo Civil","Processo Administrativo, Processo Civil",baseline,,
275,1021093-07.2018.4.01.0000,"Impenhorabilidade de verbas e aplicações financeiras que constituem única reserva alimentar do devedor até o limite de quarenta salários mínimos, abrangendo contas, poupança e inve",Processual Civil,Direito Processual Civil,"Execução Civil, Tutela de urgência e medidas constritivas","Execução Civil, Tutela de urgência e medidas constritivas",baseline,,
316,0009081-46.2007.4.01.3400,"Redirecionamento de execução fiscal contra corresponsável indicado em CDA e responsabilidade solidária de interveniente coobrigado que assinou como aval ou fiador, com ônus probató",Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
318,1008828-02.2020.4.01.0000,"Depósitos judiciais de tributos federais e proibição de levantamento antes do trânsito em julgado, com destinação dos valores à conta única do Tesouro Nacional conforme Lei 9.703/1",Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
334,0003802-27.2018.4.01.3810,Constituição do crédito de drawback com assinatura do termo de responsabilidade e limites da compensação em execução fiscal sem reconhecimento administrativo ou judicial prévio,Direito Tributário,Direito Tributário,"Processo Tributário, Tributário Administrativo","Processual Tributário, Tributário Administrativo",baseline,,
335,1000117-18.2019.4.01.3500,Parcelamento tributário e controvérsia sobre cancelamento por adesão intempestiva quando comprovada boa-fé do contribuinte e ausência de prejuízo ao erário,Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
353,1009734-26.2019.4.01.0000,Execução fiscal: efeito do arquivamento provisório nos termos do art. 20 da Lei 10.522/2002 sobre ocorrência de prescrição intercorrente,Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
356,0071850-37.2009.4.01.0000,Admissibilidade da exceção de pré-executividade para reconhecimento de prescrição quando comprovada por prova documental pré-constituída,Direito Processual,Direito Processual,"Processo Civil, Processo Tributário","Processo Civil, Processual Tributário",baseline,,
380,0003760-64.2007.4.01.4100,"Decadência quinquenal do direito de lançar tributos sem declaração prévia e controvérsia sobre prova de dolo, fraude ou simulação pelo Fisco para validade da cobrança",Direito Tributário,Direito Tributário,"Direito Material Tributário, Processo Tributário","Direito Material Tributário, Processual Tributário",baseline,,
391,1030309-55.2019.4.01.0000,Prazo prescricional quinquenal do artigo 174 do CTN conta da data de vencimento da obrigação tributária declarada por lançamento por homologação,Direito Tributário,Direito Tributário,"Processo Tributário, Tributação","Processual Tributário, Tributação",baseline,,
393,1029155-36.2018.4.01.0000,"Isenção da Fazenda Pública quanto a custas e despesas de ordens de pesquisa e bloqueio via BacenJud, exceto responsabilidade por sucumbência",Direito Processual,Direito Processual,"Processo Civil, Processo Tributário","Processo Civil, Processual Tributário",baseline,,
415,0011508-26.2010.4.01.0000,Exigência de procuração atualizada para expedição de alvará de levantamento quando o poder geral de cautela e a razoabilidade impõem necessidade probatória,Processual,Direito Processual,"Processo Civil, Prática Forense","Processo Civil, Prática Forense",baseline,,
431,0001628-92.2010.4.01.3400,Tributação de verba indenizatória paga a empregado por uso de veículo próprio e controvérsia sobre incidência de imposto de renda e aplicação de juros Selic na restituição de indéb,Direito Tributário,Direito Tributário,"Direito Tributário Substantivo, Processo Tributário","Direito Tributário Substantivo, Processual Tributário",baseline,,
455,1005692-50.2018.4.01.3400,"Possibilidade e limites da compensação de indébito de contribuições previdenciárias entre tributos da mesma espécie e destinação constitucional, conforme Lei 11.457/2007",Direito Tributário,Direito Tributário,"Direito Tributário Substantivo, Processo Tributário","Direito Tributário Substantivo, Processual Tributário",baseline,,
459,0024823-24.2010.4.01.0000,Recusa pela Fazenda Pública de imóvel oferecido em garantia de execução fiscal quando há dificuldade de alienação e ausência de observância do art. 11 da Lei 6.830/1980,Direito Público,Direito Público,"Direito Administrativo Sancionador, Processo Tributário","Direito Administrativo Sancionador, Processual Tributário",baseline,,
480,1038158-78.2019.4.01.0000,Cumprimento de sentença coletiva contra a Fazenda Pública por associação de servidores: renitência do ente público e autorização de medidas executórias imediatas para satisfação do,Processual Civil,Direito Processual Civil,"Cumprimento de Sentença, Execução Contra a Fazenda Pública","Cumprimento de Sentença, Execução Contra a Fazenda Pública",baseline,,
484,0032475-47.2014.4.01.3300,Ilegitimidade da União para cobrar imposto de renda sobre remunerações de magistrada estadual quando o Estado não reteve na fonte,Direito Tributrio,Direito Tributário,"Direito Administrativo, Tributrio Federal","Direito Administrativo, Tributrio Federal",baseline,,
487,0050600-11.2010.4.01.0000,"Apreciação de ação cautelar ajuizada após execução fiscal para suspender exigibilidade tributária mediante fiança bancária, sendo controvertida a equiparação desta ao depósito inte",Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
518,0010696-53.2007.4.01.3600,"Incidência de IRPJ e CSLL sobre juros de depósitos judiciais e sobre valores de repetição de indébito, e cabimento de embargos de terceiro por donatários não intimados",Direito Tributário,Direito Tributário,"Direito Tributário Material, Processo Tributário","Direito Tributário Material, Processual Tributário",baseline,,
523,0058653-73.2013.4.01.0000,Redirecionamento da execução fiscal por dissolução irregular da pessoa jurídica com presunção pela certidão do oficial de justiça e início da prescrição a partir do ato indicador d,Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
525,0016998-82.2017.4.01.0000,Prevenção do juízo prolator de sentença coletiva impede deslocamento da execução individual para o foro de domicílio do exequente quando coincidem os foros,Processual Civil,Direito Processual Civil,"Direito Processual Coletivo, Processo Civil","Direito Processual Coletivo, Processo Civil",baseline,,
539,1018772-04.2020.4.01.9999,"Competência administrativa para extinguir execuções fiscais de pequeno valor e vedação ao Judiciário de extinguir de ofício por suposto desinteresse do credor, com orientação sobre",Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
541,1002340-38.2019.4.01.3307,"Exclusão do Simples Nacional por débitos sem exigibilidade suspensa e indeferimento de reinclusão diante da ausência de regularização, à luz do Tema 363 (RE 627543) do STF",Direito Tributário,Direito Tributário,"Processo Tributário, Tributação empresarial","Processual Tributário, Tributação empresarial",baseline,,
556,1002391-50.2017.4.01.3200,Legalidade da majoração por decreto das alíquotas de PIS e Cofins incidentes sobre receitas financeiras e limites legais aplicáveis,Direito Tributário,Direito Tributário,"Direito Tributário Material, Processo Tributário","Direito Tributário Material, Processual Tributário",baseline,,
560,1001529-08.2019.4.01.0000,Possibilidade de redirecionamento da execução fiscal para o espólio diante de óbito do contribuinte e requisito da citação prévia do devedor,Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
564,0006045-79.1996.4.01.3400,Execução fiscal extinta nos termos do art. 26 da Lei 6.830/1980 e controvérsia sobre a fixação de honorários advocatícios aplicando-se o princípio da causalidade,Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
583,1038659-32.2019.4.01.0000,Penhora de valores em conta de pessoa jurídica versus impenhorabilidade salarial e exigência de prova cabal de destinação exclusiva à folha em execução fiscal,Processual Civil,Direito Processual Civil,"Execução fiscal, Processo de Execução","Execução fiscal, Processo de Execução",baseline,,
584,1022462-02.2019.4.01.0000,Admissibilidade da exceção de pré-executividade em execução fiscal diante de vício manifesto na certidão de dívida ativa e necessidade de prova para afastar presunção de certeza e ,Direito Tributário,Direito Tributário,"Execução fiscal, Processo Tributário","Execução fiscal, Processual Tributário",baseline,,
586,0015419-46.2010.4.01.0000,Reiteração de pedido de penhora na execução civil exigindo prova de alteração da situação econômica do executado para justificar nova medida constritiva,Processual Civil,Direito Processual Civil,"Execução Civil, Tutela Provisória","Execução Civil, Tutela Provisória",baseline,,
587,0040174-37.2010.4.01.0000,Recusa do credor à nomeação à penhora de título da dívida pública sem cotação em bolsa e violação da ordem legal de penhora,Direito Processual,Direito Processual,"Processo Civil, Processo Tributário","Processo Civil, Processual Tributário",baseline,,
589,1009951-35.2020.4.01.0000,"Análise e rejeição da suspeição de magistrado por manifestações públicas sem relação direta com o processo, mantendo decisão unânime",Processual Civil,Direito Processual Civil,"Processo Civil, Ética e Impedimento Judicial","Processo Civil, Ética e Impedimento Judicial",baseline,,
610,0001887-14.2015.4.01.3400,Repetição de indébito do imposto de renda sobre complementação de aposentadoria e aplicação da metodologia do esgotamento para cálculo e atualização dos valores,Direito Tributário,Direito Tributário,"Direito Tributário Substantivo, Processo Tributário","Direito Tributário Substantivo, Processual Tributário",baseline,,
613,1016702-14.2020.4.01.9999,"Extinção do processo por abandono em razão da inércia da parte autora após intimação e decurso do prazo sem adoção de providências, sem presumir interesse do réu na continuidade",Processual Civil,Direito Processual Civil,"Processo de Conhecimento, Tutela Jurisdicional","Processo de Conhecimento, Tutela Jurisdicional",baseline,,
624,0000709-06.2010.4.01.3400,Denúncia espontânea tributária com retificação e pagamento integral antes de medida administrativa e afastamento da multa moratória conforme art. 138 do CTN,Direito Tributário,Direito Tributário,"Direito Tributário Material, Processo Tributário","Direito Tributário Material, Processual Tributário",baseline,,
