id,nat,tipo
1751,05 - Diversos (a revisar),
1752,05 - Diversos (a revisar),
1753,05 - Diversos (a revisar),
1754,05 - Diversos (a revisar),
1755,05 - Diversos (a revisar),
1756,05 - Diversos (a revisar),
1757,05 - Diversos (a revisar),
1758,05 - Diversos (a revisar),
1759,01 - Jurídico,Outros processuais
1760,01 - Jurídico,Recursos
1761,01 - Jurídico,Recursos
1762,05 - Diversos (a revisar),
1763,05 - Diversos (a revisar),
1764,05 - Diversos (a revisar),
1765,04 - Pessoal e financeiro,
1766,05 - Diversos (a revisar),
1767,05 - Diversos (a revisar),
1768,05 - Diversos (a revisar),
1769,05 - Diversos (a revisar),
1770,05 - Diversos (a revisar),
1771,05 - Diversos (a revisar),
1772,05 - Diversos (a revisar),
1773,05 - Diversos (a revisar),
1774,05 - Diversos (a revisar),
1775,05 - Diversos (a revisar),
1776,05 - Diversos (a revisar),
1777,05 - Diversos (a revisar),
1778,01 - Jurídico,Outros processuais
1779,05 - Diversos (a revisar),
1780,05 - Diversos (a revisar),
1781,05 - Diversos (a revisar),
1782,05 - Diversos (a revisar),
1783,05 - Diversos (a revisar),
1784,05 - Diversos (a revisar),
1785,05 - Diversos (a revisar),
1786,05 - Diversos (a revisar),
1787,05 - Diversos (a revisar),
1788,04 - Pessoal e financeiro,
1789,05 - Diversos (a revisar),
1790,05 - Diversos (a revisar),
1791,05 - Diversos (a revisar),
1792,05 - Diversos (a revisar),
1793,05 - Diversos (a revisar),
1794,05 - Diversos (a revisar),
1795,05 - Diversos (a revisar),
1796,05 - Diversos (a revisar),
1797,05 - Diversos (a revisar),
1798,05 - Diversos (a revisar),
1799,05 - Diversos (a revisar),
1800,05 - Diversos (a revisar),
1801,01 - Jurídico,Outros processuais
1802,05 - Diversos (a revisar),
1803,05 - Diversos (a revisar),
1804,03 - Administrativo,
1805,04 - Pessoal e financeiro,
1806,05 - Diversos (a revisar),
1807,04 - Pessoal e financeiro,
1808,05 - Diversos (a revisar),
1809,05 - Diversos (a revisar),
1810,05 - Diversos (a revisar),
1811,05 - Diversos (a revisar),
1812,05 - Diversos (a revisar),
1813,05 - Diversos (a revisar),
1814,05 - Diversos (a revisar),
1815,01 - Jurídico,Outros processuais
1816,05 - Diversos (a revisar),
1817,05 - Diversos (a revisar),
1818,05 - Diversos (a revisar),
1819,01 - Jurídico,Recursos
1820,05 - Diversos (a revisar),
1821,05 - Diversos (a revisar),
1822,05 - Diversos (a revisar),
1823,04 - Pessoal e financeiro,
1824,05 - Diversos (a revisar),
1825,05 - Diversos (a revisar),
1826,05 - Diversos (a revisar),
1827,05 - Diversos (a revisar),
1828,05 - Diversos (a revisar),
1829,05 - Diversos (a revisar),
1830,05 - Diversos (a revisar),
1831,05 - Diversos (a revisar),
1832,05 - Diversos (a revisar),
1833,05 - Diversos (a revisar),
