id,nat,tipo
14501,05 - Diversos (a revisar),
14502,05 - Diversos (a revisar),
14503,05 - Diversos (a revisar),
14504,01 - Jurídico,Acórdãos e decisões
14505,01 - Jurídico,Outros processuais
14506,04 - Pessoal e financeiro,
14507,02 - Estudos e concursos,
14508,01 - Jurídico,Recursos
14509,03 - Administrativo,
14510,03 - Administrativo,
14511,03 - Administrativo,
14512,03 - Administrativo,
14513,03 - Administrativo,
14514,03 - Administrativo,
14515,03 - Administrativo,
14516,03 - Administrativo,
14517,03 - Administrativo,
14518,03 - Administrativo,
14519,03 - Administrativo,
14520,03 - Administrativo,
14521,03 - Administrativo,
14522,03 - Administrativo,
14523,03 - Administrativo,
14524,03 - Administrativo,
14525,03 - Administrativo,
14526,03 - Administrativo,
14527,03 - Administrativo,
14528,03 - Administrativo,
14529,03 - Administrativo,
14530,03 - Administrativo,
14531,03 - Administrativo,
14532,03 - Administrativo,
14533,03 - Administrativo,
14534,03 - Administrativo,
14535,03 - Administrativo,
14536,03 - Administrativo,
14537,03 - Administrativo,
14538,03 - Administrativo,
14539,03 - Administrativo,
14540,03 - Administrativo,
14541,03 - Administrativo,
14542,03 - Administrativo,
14543,03 - Administrativo,
14544,03 - Administrativo,
14545,03 - Administrativo,
14546,03 - Administrativo,
14547,03 - Administrativo,
14548,03 - Administrativo,
14549,03 - Administrativo,
14550,03 - Administrativo,
14551,03 - Administrativo,
14552,03 - Administrativo,
14553,03 - Administrativo,
14554,03 - Administrativo,
14555,03 - Administrativo,
14556,03 - Administrativo,
14557,03 - Administrativo,
14558,03 - Administrativo,
14559,03 - Administrativo,
14560,03 - Administrativo,
14561,03 - Administrativo,
14562,03 - Administrativo,
14563,04 - Pessoal e financeiro,
14564,03 - Administrativo,
14565,01 - Jurídico,Pareceres e notas técnicas
14566,05 - Diversos (a revisar),
14567,03 - Administrativo,
14568,03 - Administrativo,
14569,03 - Administrativo,
14570,04 - Pessoal e financeiro,
14571,02 - Estudos e concursos,
14572,03 - Administrativo,
14573,03 - Administrativo,
14574,03 - Administrativo,
14575,03 - Administrativo,
14576,03 - Administrativo,
14577,01 - Jurídico,Acórdãos e decisões
14578,03 - Administrativo,
14579,01 - Jurídico,Acórdãos e decisões
14580,03 - Administrativo,
14581,03 - Administrativo,
14582,02 - Estudos e concursos,
14583,03 - Administrativo,
14584,05 - Diversos (a revisar),
14585,05 - Diversos (a revisar),
14586,03 - Administrativo,
14587,02 - Estudos e concursos,
14588,03 - Administrativo,
14589,02 - Estudos e concursos,
14590,03 - Administrativo,
14591,05 - Diversos (a revisar),
14592,04 - Pessoal e financeiro,
14593,04 - Pessoal e financeiro,
14594,04 - Pessoal e financeiro,
14595,04 - Pessoal e financeiro,
14596,04 - Pessoal e financeiro,
14597,04 - Pessoal e financeiro,
14598,04 - Pessoal e financeiro,
14599,04 - Pessoal e financeiro,
14600,01 - Jurídico,Modelos e minutas
14601,02 - Estudos e concursos,
14602,03 - Administrativo,
14603,05 - Diversos (a revisar),
14604,05 - Diversos (a revisar),
14605,04 - Pessoal e financeiro,
14606,04 - Pessoal e financeiro,
14607,03 - Administrativo,
14608,02 - Estudos e concursos,
14609,03 - Administrativo,
14610,03 - Administrativo,
14611,02 - Estudos e concursos,
14612,03 - Administrativo,
14613,03 - Administrativo,
14614,02 - Estudos e concursos,
14615,03 - Administrativo,
14616,02 - Estudos e concursos,
14617,01 - Jurídico,Outros processuais
14618,01 - Jurídico,Outros processuais
14619,01 - Jurídico,Outros processuais
14620,01 - Jurídico,Outros processuais
14621,01 - Jurídico,Outros processuais
14622,01 - Jurídico,Outros processuais
14623,01 - Jurídico,Outros processuais
14624,01 - Jurídico,Outros processuais
14625,01 - Jurídico,Outros processuais
14626,01 - Jurídico,Outros processuais
14627,01 - Jurídico,Outros processuais
14628,01 - Jurídico,Outros processuais
14629,01 - Jurídico,Outros processuais
14630,01 - Jurídico,Outros processuais
14631,01 - Jurídico,Outros processuais
14632,01 - Jurídico,Outros processuais
14633,01 - Jurídico,Outros processuais
14634,01 - Jurídico,Outros processuais
14635,01 - Jurídico,Outros processuais
14636,01 - Jurídico,Outros processuais
14637,01 - Jurídico,Outros processuais
14638,01 - Jurídico,Outros processuais
14639,01 - Jurídico,Outros processuais
14640,01 - Jurídico,Outros processuais
14641,01 - Jurídico,Outros processuais
14642,01 - Jurídico,Outros processuais
14643,01 - Jurídico,Outros processuais
14644,05 - Diversos (a revisar),
14645,01 - Jurídico,Modelos e minutas
14646,01 - Jurídico,Modelos e minutas
14647,01 - Jurídico,Modelos e minutas
14648,03 - Administrativo,
14649,03 - Administrativo,
14650,03 - Administrativo,
14651,03 - Administrativo,
14652,03 - Administrativo,
14653,03 - Administrativo,
14654,05 - Diversos (a revisar),
14655,05 - Diversos (a revisar),
14656,03 - Administrativo,
14657,03 - Administrativo,
14658,03 - Administrativo,
14659,03 - Administrativo,
14660,03 - Administrativo,
14661,03 - Administrativo,
14662,03 - Administrativo,
14663,03 - Administrativo,
14664,03 - Administrativo,
14665,03 - Administrativo,
14666,03 - Administrativo,
14667,05 - Diversos (a revisar),
14668,03 - Administrativo,
14669,03 - Administrativo,
14670,03 - Administrativo,
14671,03 - Administrativo,
14672,03 - Administrativo,
14673,03 - Administrativo,
14674,03 - Administrativo,
14675,03 - Administrativo,
14676,03 - Administrativo,
14677,03 - Administrativo,
14678,03 - Administrativo,
14679,03 - Administrativo,
14680,03 - Administrativo,
14681,03 - Administrativo,
14682,03 - Administrativo,
14683,03 - Administrativo,
