id,nat,tipo
14751,02 - Estudos e concursos,
14752,02 - Estudos e concursos,
14753,02 - Estudos e concursos,
14754,02 - Estudos e concursos,
14755,02 - Estudos e concursos,
14756,02 - Estudos e concursos,
14757,02 - Estudos e concursos,
14758,02 - Estudos e concursos,
14759,02 - Estudos e concursos,
14760,02 - Estudos e concursos,
14761,02 - Estudos e concursos,
14762,02 - Estudos e concursos,
14763,02 - Estudos e concursos,
14764,02 - Estudos e concursos,
14765,05 - Diversos (a revisar),
14766,05 - Diversos (a revisar),
14767,05 - Diversos (a revisar),
14768,05 - Diversos (a revisar),
14769,05 - Diversos (a revisar),
14770,05 - Diversos (a revisar),
14771,02 - Estudos e concursos,
14772,02 - Estudos e concursos,
14773,02 - Estudos e concursos,
14774,02 - Estudos e concursos,
14775,02 - Estudos e concursos,
14776,02 - Estudos e concursos,
14777,05 - Diversos (a revisar),
14778,05 - Diversos (a revisar),
14779,02 - Estudos e concursos,
14780,02 - Estudos e concursos,
14781,02 - Estudos e concursos,
14782,03 - Administrativo,
14783,03 - Administrativo,
14784,03 - Administrativo,
14785,03 - Administrativo,
14786,03 - Administrativo,
14787,03 - Administrativo,
14788,03 - Administrativo,
14789,03 - Administrativo,
14790,03 - Administrativo,
14791,03 - Administrativo,
14792,04 - Pessoal e financeiro,
14793,04 - Pessoal e financeiro,
14794,04 - Pessoal e financeiro,
14795,04 - Pessoal e financeiro,
14796,04 - Pessoal e financeiro,
14797,04 - Pessoal e financeiro,
14798,04 - Pessoal e financeiro,
14799,04 - Pessoal e financeiro,
14800,01 - Jurídico,Acórdãos e decisões
14801,03 - Administrativo,
14802,05 - Diversos (a revisar),
14803,05 - Diversos (a revisar),
14804,05 - Diversos (a revisar),
14805,05 - Diversos (a revisar),
14806,02 - Estudos e concursos,
14807,02 - Estudos e concursos,
14808,02 - Estudos e concursos,
14809,02 - Estudos e concursos,
14810,02 - Estudos e concursos,
14811,02 - Estudos e concursos,
14812,02 - Estudos e concursos,
14813,02 - Estudos e concursos,
14814,02 - Estudos e concursos,
14815,02 - Estudos e concursos,
14816,02 - Estudos e concursos,
14817,02 - Estudos e concursos,
14818,02 - Estudos e concursos,
14819,02 - Estudos e concursos,
14820,02 - Estudos e concursos,
14821,02 - Estudos e concursos,
14822,02 - Estudos e concursos,
14823,02 - Estudos e concursos,
14824,02 - Estudos e concursos,
14825,02 - Estudos e concursos,
14826,02 - Estudos e concursos,
14827,02 - Estudos e concursos,
14828,02 - Estudos e concursos,
14829,02 - Estudos e concursos,
14830,02 - Estudos e concursos,
14831,02 - Estudos e concursos,
14832,02 - Estudos e concursos,
14833,02 - Estudos e concursos,
14834,02 - Estudos e concursos,
14835,02 - Estudos e concursos,
14836,02 - Estudos e concursos,
14837,02 - Estudos e concursos,
14838,02 - Estudos e concursos,
14839,02 - Estudos e concursos,
14840,02 - Estudos e concursos,
14841,02 - Estudos e concursos,
14842,02 - Estudos e concursos,
14843,02 - Estudos e concursos,
14844,02 - Estudos e concursos,
14845,02 - Estudos e concursos,
14846,02 - Estudos e concursos,
14847,02 - Estudos e concursos,
14848,02 - Estudos e concursos,
14849,02 - Estudos e concursos,
14850,02 - Estudos e concursos,
14851,02 - Estudos e concursos,
14852,02 - Estudos e concursos,
14853,02 - Estudos e concursos,
14854,02 - Estudos e concursos,
14855,02 - Estudos e concursos,
14856,02 - Estudos e concursos,
14857,02 - Estudos e concursos,
