id,nat,tipo
3751,03 - Administrativo,
3752,05 - Diversos (a revisar),
3753,05 - Diversos (a revisar),
3754,05 - Diversos (a revisar),
3755,05 - Diversos (a revisar),
3756,05 - Diversos (a revisar),
3757,01 - Jurídico,Modelos e minutas
3758,02 - Estudos e concursos,
3759,02 - Estudos e concursos,
3760,05 - Diversos (a revisar),
3761,05 - Diversos (a revisar),
3762,01 - Jurídico,Petições
3763,01 - Jurídico,Petições
3764,02 - Estudos e concursos,
3765,02 - Estudos e concursos,
3766,02 - Estudos e concursos,
3767,02 - Estudos e concursos,
3768,02 - Estudos e concursos,
3769,05 - Diversos (a revisar),
3770,03 - Administrativo,
3771,02 - Estudos e concursos,
3772,01 - Jurídico,Outros processuais
3773,01 - Jurídico,Outros processuais
3774,03 - Administrativo,
3775,02 - Estudos e concursos,
3776,03 - Administrativo,
3777,03 - Administrativo,
3778,03 - Administrativo,
3779,03 - Administrativo,
3780,03 - Administrativo,
3781,05 - Diversos (a revisar),
3782,05 - Diversos (a revisar),
3783,02 - Estudos e concursos,
3784,02 - Estudos e concursos,
3785,02 - Estudos e concursos,
3786,02 - Estudos e concursos,
3787,02 - Estudos e concursos,
3788,02 - Estudos e concursos,
3789,02 - Estudos e concursos,
3790,02 - Estudos e concursos,
3791,02 - Estudos e concursos,
3792,02 - Estudos e concursos,
3793,02 - Estudos e concursos,
3794,02 - Estudos e concursos,
3795,02 - Estudos e concursos,
3796,02 - Estudos e concursos,
3797,02 - Estudos e concursos,
3798,02 - Estudos e concursos,
3799,04 - Pessoal e financeiro,
3800,04 - Pessoal e financeiro,
3801,04 - Pessoal e financeiro,
3802,04 - Pessoal e financeiro,
3803,04 - Pessoal e financeiro,
3804,04 - Pessoal e financeiro,
3805,04 - Pessoal e financeiro,
3806,04 - Pessoal e financeiro,
3807,04 - Pessoal e financeiro,
3808,05 - Diversos (a revisar),
3809,05 - Diversos (a revisar),
3810,05 - Diversos (a revisar),
3811,01 - Jurídico,Outros processuais
3812,01 - Jurídico,Outros processuais
3813,01 - Jurídico,Outros processuais
3814,01 - Jurídico,Outros processuais
3815,01 - Jurídico,Outros processuais
3816,01 - Jurídico,Recursos
3817,01 - Jurídico,Despachos e votos
3818,01 - Jurídico,Acórdãos e decisões
3819,01 - Jurídico,Acórdãos e decisões
3820,01 - Jurídico,Acórdãos e decisões
3821,01 - Jurídico,Acórdãos e decisões
3822,01 - Jurídico,Despachos e votos
3823,01 - Jurídico,Despachos e votos
3824,01 - Jurídico,Acórdãos e decisões
3825,01 - Jurídico,Acórdãos e decisões
3826,01 - Jurídico,Acórdãos e decisões
3827,01 - Jurídico,Outros processuais
3828,01 - Jurídico,Despachos e votos
3829,01 - Jurídico,Outros processuais
3830,01 - Jurídico,Outros processuais
3831,01 - Jurídico,Outros processuais
3832,01 - Jurídico,Outros processuais
3833,01 - Jurídico,Outros processuais
3834,01 - Jurídico,Outros processuais
3835,01 - Jurídico,Outros processuais
3836,01 - Jurídico,Outros processuais
3837,01 - Jurídico,Outros processuais
3838,01 - Jurídico,Recursos
3839,01 - Jurídico,Recursos
3840,01 - Jurídico,Acórdãos e decisões
3841,01 - Jurídico,Outros processuais
3842,01 - Jurídico,Acórdãos e decisões
3843,01 - Jurídico,Outros processuais
3844,01 - Jurídico,Outros processuais
3845,01 - Jurídico,Outros processuais
3846,01 - Jurídico,Outros processuais
3847,01 - Jurídico,Outros processuais
3848,01 - Jurídico,Outros processuais
3849,01 - Jurídico,Outros processuais
3850,01 - Jurídico,Outros processuais
3851,02 - Estudos e concursos,
3852,05 - Diversos (a revisar),
3853,05 - Diversos (a revisar),
3854,02 - Estudos e concursos,
3855,02 - Estudos e concursos,
3856,02 - Estudos e concursos,
3857,05 - Diversos (a revisar),
3858,02 - Estudos e concursos,
3859,02 - Estudos e concursos,
3860,02 - Estudos e concursos,
3861,02 - Estudos e concursos,
3862,02 - Estudos e concursos,
3863,02 - Estudos e concursos,
3864,01 - Jurídico,Outros processuais
3865,01 - Jurídico,Outros processuais
3866,02 - Estudos e concursos,
3867,05 - Diversos (a revisar),
3868,02 - Estudos e concursos,
3869,05 - Diversos (a revisar),
3870,01 - Jurídico,Outros processuais
3871,01 - Jurídico,Outros processuais
3872,01 - Jurídico,Outros processuais
3873,01 - Jurídico,Outros processuais
3874,01 - Jurídico,Outros processuais
3875,01 - Jurídico,Outros processuais
3876,01 - Jurídico,Outros processuais
3877,01 - Jurídico,Outros processuais
3878,01 - Jurídico,Outros processuais
3879,03 - Administrativo,
3880,01 - Jurídico,Modelos e minutas
3881,02 - Estudos e concursos,
3882,01 - Jurídico,Outros processuais
3883,01 - Jurídico,Outros processuais
3884,02 - Estudos e concursos,
3885,02 - Estudos e concursos,
3886,05 - Diversos (a revisar),
3887,05 - Diversos (a revisar),
3888,05 - Diversos (a revisar),
3889,02 - Estudos e concursos,
3890,02 - Estudos e concursos,
3891,05 - Diversos (a revisar),
3892,02 - Estudos e concursos,
3893,05 - Diversos (a revisar),
3894,05 - Diversos (a revisar),
3895,02 - Estudos e concursos,
3896,02 - Estudos e concursos,
3897,02 - Estudos e concursos,
3898,02 - Estudos e concursos,
3899,02 - Estudos e concursos,
3900,02 - Estudos e concursos,
3901,01 - Jurídico,Outros processuais
3902,03 - Administrativo,
3903,03 - Administrativo,
3904,04 - Pessoal e financeiro,
3905,04 - Pessoal e financeiro,
3906,04 - Pessoal e financeiro,
3907,04 - Pessoal e financeiro,
3908,02 - Estudos e concursos,
3909,02 - Estudos e concursos,
3910,02 - Estudos e concursos,
3911,02 - Estudos e concursos,
3912,02 - Estudos e concursos,
3913,03 - Administrativo,
3914,03 - Administrativo,
3915,03 - Administrativo,
3916,03 - Administrativo,
3917,03 - Administrativo,
3918,03 - Administrativo,
3919,03 - Administrativo,
3920,05 - Diversos (a revisar),
