"id","ordem_doc","arquivo_fonte","norma_id","norma_titulo","norma_nome_popular","macrogrupo","grupo_sumario","pagina_inicial","pagina_final","hierarquia_normativa","tipo_dispositivo","dispositivo","dispositivo_pai","artigo","paragrafo","inciso","alinea","item","texto_dispositivo","notas_texto","notas_json","qtd_notas","referencias_normativas","referencias_jurisprudenciais","referencias_sumulas","texto_rag","resumo_curto","palavras_chave","incluir_no_rag","chars","tokens_estimados"
"1","1","Codigo_Eleitoral_2026_anotado.pdf","portaria_288_2005","Portaria n. 288 de 9 de junho de 2005","","Normas editadas pelo TSE","Portarias","1147","1147","","norma","Portaria n. 288 de 9 de junho de 2005","","","","","","","Estabelece normas e procedimentos visando a arrecadação, recolhimento e cobrança das multas previstas no Código Eleitoral e leis conexas, e à utilização da Guia de Recolhimento da União (GRU). O PRESIDENTE DO TRIBUNAL SUPERIOR ELEITORAL, no uso das atribuições conferidas pela Resolução-TSE n. 21.975, de 16 de dezembro de 2004, e Considerando a necessidade de disciplinar em seus aspectos de padronização e uniformidade, no âmbito da Justiça Eleitoral, o procedimento de arrecadação, recolhimento e cobrança de multas eleitorais, e de implantação da Guia de Recolhimento da União (GRU); e Considerando, ainda, a necessidade de dotar os Tribunais e cartórios eleitorais de instrumentos de trabalho que lhes permitam prestar os serviços inerentes à arrecadação, recolhimento e cobrança das multas previstas no Código Eleitoral e leis conexas, por intermédio da Guia de Recolhimento da União (GRU), nos períodos em que o Sistema ELO ficar inoperante ou com as linhas de acesso congestionadas, ou, ainda, durante o atendimento a eleitores em postos localizados em municípios distantes da sede da zona eleitoral e que não dispõem do Sistema ELO, resolve:","Ac.-TSE, de 24/11/2011, no PA n. 99643: multas decorrentes do descumprimento da legislação eleitoral são destinadas ao Fundo Partidário, salvo aquelas decorrentes de condenação criminal que, por força da LC n. 79/1994, devem compor o Fundo Penitenciário Nacional.
Res.-TSE n. 21823/2004: admissibilidade do pagamento, perante qualquer juízo eleitoral, dos débitos decorrentes de sanções pecuniárias de natureza administrativa impostas com base no CE/1965 e na Lei n. 9.504/1997.
V. Prov.-CGE n. 4/2025: “Disciplina o registro da prescrição de multas administrativo-eleitorais no cadastro”.","[{""ordem"": 1, ""marcador"": ""quadrado"", ""texto"": ""Ac.-TSE, de 24/11/2011, no PA n. 99643: multas decorrentes do descumprimento da legislação eleitoral são destinadas ao Fundo Partidário, salvo aquelas decorrentes de condenação criminal que, por força da LC n. 79/1994, devem compor o Fundo Penitenciário Nacional."", ""pagina_inicial"": 1147, ""pagina_final"": 1147}, {""ordem"": 2, ""marcador"": ""quadrado"", ""texto"": ""Res.-TSE n. 21823/2004: admissibilidade do pagamento, perante qualquer juízo eleitoral, dos débitos decorrentes de sanções pecuniárias de natureza administrativa impostas com base no CE/1965 e na Lei n. 9.504/1997."", ""pagina_inicial"": 1147, ""pagina_final"": 1147}, {""ordem"": 3, ""marcador"": ""quadrado"", ""texto"": ""V. Prov.-CGE n. 4/2025: “Disciplina o registro da prescrição de multas administrativo-eleitorais no cadastro”."", ""pagina_inicial"": 1147, ""pagina_final"": 1147}]","3","CE/1965; Lei n. 9.504/1997; LC n. 79/1994; Res.-TSE n. 21823/2004; Resolução-TSE n. 21.975; Prov.-CGE n. 4/2025","Ac.-TSE, de 24/11/2011, no PA n; PA n. 99643","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Portaria n. 288 de 9 de junho de 2005
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Portarias
Dispositivo: Portaria n. 288 de 9 de junho de 2005
Tipo: norma
Páginas: 1147-1147
Estabelece normas e procedimentos visando a arrecadação, recolhimento e cobrança das multas previstas no Código Eleitoral e leis conexas, e à utilização da Guia de Recolhimento da União (GRU). O PRESIDENTE DO TRIBUNAL SUPERIOR ELEITORAL, no uso das atribuições conferidas pela Resolução-TSE n. 21.975, de 16 de dezembro de 2004, e Considerando a necessidade de disciplinar em seus aspectos de padronização e uniformidade, no âmbito da Justiça Eleitoral, o procedimento de arrecadação, recolhimento e cobrança de multas eleitorais, e de implantação da Guia de Recolhimento da União (GRU); e Considerando, ainda, a necessidade de dotar os Tribunais e cartórios eleitorais de instrumentos de trabalho que lhes permitam prestar os serviços inerentes à arrecadação, recolhimento e cobrança das multas previstas no Código Eleitoral e leis conexas, por intermédio da Guia de Recolhimento da União (GRU), nos períodos em que o Sistema ELO ficar inoperante ou com as linhas de acesso congestionadas, ou, ainda, durante o atendimento a eleitores em postos localizados em municípios distantes da sede da zona eleitoral e que não dispõem do Sistema ELO, resolve:
Notas vinculadas:
Ac.-TSE, de 24/11/2011, no PA n. 99643: multas decorrentes do descumprimento da legislação eleitoral são destinadas ao Fundo Partidário, salvo aquelas decorrentes de condenação criminal que, por força da LC n. 79/1994, devem compor o Fundo Penitenciário Nacional.
Res.-TSE n. 21823/2004: admissibilidade do pagamento, perante qualquer juízo eleitoral, dos débitos decorrentes de sanções pecuniárias de natureza administrativa impostas com base no CE/1965 e na Lei n. 9.504/1997.
V. Prov.-CGE n. 4/2025: “Disciplina o registro da prescrição de multas administrativo-eleitorais no cadastro”.","Estabelece normas e procedimentos visando a arrecadação, recolhimento e cobrança das multas previstas no Código Eleitoral e leis conexas, e à utilização da Guia de Recolhimento da União (GRU). O PRESIDENTE DO TRIBUNAL SUPERIOR ELEITORAL...","eleitoral; recolhimento; multas; arrecadacao; cobranca; guia; uniao; eleitorais; decorrentes; portaria","True","2017","504"
"2","2","Codigo_Eleitoral_2026_anotado.pdf","portaria_288_2005","Portaria n. 288 de 9 de junho de 2005","","Normas editadas pelo TSE","Portarias","1147","1147","CAPÍTULO I - DAS DISPOSIÇÕES INICIAIS","estrutura","CAPÍTULO I - DAS DISPOSIÇÕES INICIAIS","","","","","","","CAPÍTULO I - DAS DISPOSIÇÕES INICIAIS","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Portaria n. 288 de 9 de junho de 2005
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Portarias
Dispositivo: CAPÍTULO I - DAS DISPOSIÇÕES INICIAIS
Tipo: estrutura
Hierarquia: CAPÍTULO I - DAS DISPOSIÇÕES INICIAIS
Páginas: 1147-1147
CAPÍTULO I - DAS DISPOSIÇÕES INICIAIS","CAPÍTULO I - DAS DISPOSIÇÕES INICIAIS","capitulo; disposicoes; iniciais; portaria; junho","True","350","87"
"3","3","Codigo_Eleitoral_2026_anotado.pdf","portaria_288_2005","Portaria n. 288 de 9 de junho de 2005","","Normas editadas pelo TSE","Portarias","1147","1147","CAPÍTULO I - DAS DISPOSIÇÕES INICIAIS","artigo","Art. 1º","","Art. 1º","","","","","Art. 1º A arrecadação, o recolhimento e a cobrança de multas eleitorais, disciplinados pela Resolução-TSE n. 21.975/2004, em face do que estabelecem o inciso I do art. 38 da Lei n. 9.096, de 19 de setembro de 1995, e o § 1º do art. 105 da Lei n. 9.504, de 30 de setembro de 1997, assim como o art. 98 da Lei n. 10.707, de 30 de julho de 2003, regulamentado pelo Decreto n. 4.950, de 9 de janeiro de 2004, e pela Instrução Normativa-STN n. 3, de 12 de fevereiro de 2004, serão feitos de acordo com os procedimentos adotados por esta portaria.","IN-STN n. 3/2004 revogada pela IN-STN n. 2/2009, que foi revogada pela IN-STN/MF n. 8/2024.
Res.-TSE n. 23126/2009: os recursos recebidos pelos partidos políticos oriundos de fontes não identificadas devem ser recolhidos ao Fundo Partidário mediante GRU, nos termos da Res.-TSE n. 21975/2004 e desta portaria.","[{""ordem"": 1, ""marcador"": ""ticado"", ""texto"": ""IN-STN n. 3/2004 revogada pela IN-STN n. 2/2009, que foi revogada pela IN-STN/MF n. 8/2024."", ""pagina_inicial"": 1147, ""pagina_final"": 1147}, {""ordem"": 2, ""marcador"": ""quadrado"", ""texto"": ""Res.-TSE n. 23126/2009: os recursos recebidos pelos partidos políticos oriundos de fontes não identificadas devem ser recolhidos ao Fundo Partidário mediante GRU, nos termos da Res.-TSE n. 21975/2004 e desta portaria."", ""pagina_inicial"": 1147, ""pagina_final"": 1147}]","2","Lei n. 9.096; Lei n. 9.504; Lei n. 10.707; Res.-TSE n. 23126/2009; Res.-TSE n. 21975/2004; Resolução-TSE n. 21.975/2004; Decreto n. 4.950","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Portaria n. 288 de 9 de junho de 2005
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Portarias
Dispositivo: Art. 1º
Tipo: artigo
Hierarquia: CAPÍTULO I - DAS DISPOSIÇÕES INICIAIS
Páginas: 1147-1147
Art. 1º A arrecadação, o recolhimento e a cobrança de multas eleitorais, disciplinados pela Resolução-TSE n. 21.975/2004, em face do que estabelecem o inciso I do art. 38 da Lei n. 9.096, de 19 de setembro de 1995, e o § 1º do art. 105 da Lei n. 9.504, de 30 de setembro de 1997, assim como o art. 98 da Lei n. 10.707, de 30 de julho de 2003, regulamentado pelo Decreto n. 4.950, de 9 de janeiro de 2004, e pela Instrução Normativa-STN n. 3, de 12 de fevereiro de 2004, serão feitos de acordo com os procedimentos adotados por esta portaria.
Notas vinculadas:
IN-STN n. 3/2004 revogada pela IN-STN n. 2/2009, que foi revogada pela IN-STN/MF n. 8/2024.
Res.-TSE n. 23126/2009: os recursos recebidos pelos partidos políticos oriundos de fontes não identificadas devem ser recolhidos ao Fundo Partidário mediante GRU, nos termos da Res.-TSE n. 21975/2004 e desta portaria.","Art. 1º A arrecadação, o recolhimento e a cobrança de multas eleitorais, disciplinados pela Resolução-TSE n. 21.975/2004, em face do que estabelecem o inciso I do art. 38 da Lei n. 9.096, de 19 de setembro de 1995, e o § 1º do art. 105 da...","portaria; setembro; revogada; junho; capitulo; disposicoes; iniciais; arrecadacao; recolhimento; cobranca","True","1149","287"
"4","4","Codigo_Eleitoral_2026_anotado.pdf","portaria_288_2005","Portaria n. 288 de 9 de junho de 2005","","Normas editadas pelo TSE","Portarias","1147","1147","CAPÍTULO I - DAS DISPOSIÇÕES INICIAIS","paragrafo","Art. 1º, Parágrafo único","Art. 1º","Art. 1º","Parágrafo único","","","","Parágrafo único. Para os fins desta portaria, participam das atividades referidas no caput:","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Portaria n. 288 de 9 de junho de 2005
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Portarias
Dispositivo: Art. 1º, Parágrafo único
Tipo: paragrafo
Hierarquia: CAPÍTULO I - DAS DISPOSIÇÕES INICIAIS
Dispositivo pai: Art. 1º
Páginas: 1147-1147
Parágrafo único. Para os fins desta portaria, participam das atividades referidas no caput:","Parágrafo único. Para os fins desta portaria, participam das atividades referidas no caput:","portaria; paragrafo; unico; junho; capitulo; disposicoes; iniciais; fins; desta; participam","True","416","104"
"5","5","Codigo_Eleitoral_2026_anotado.pdf","portaria_288_2005","Portaria n. 288 de 9 de junho de 2005","","Normas editadas pelo TSE","Portarias","1147","1147","CAPÍTULO I - DAS DISPOSIÇÕES INICIAIS","inciso","Art. 1º, Parágrafo único, I","Art. 1º, Parágrafo único","Art. 1º","Parágrafo único","I","","","I - o Tribunal Superior Eleitoral, na condição de órgão responsável pelas seguintes atividades:","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Portaria n. 288 de 9 de junho de 2005
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Portarias
Dispositivo: Art. 1º, Parágrafo único, I
Tipo: inciso
Hierarquia: CAPÍTULO I - DAS DISPOSIÇÕES INICIAIS
Dispositivo pai: Art. 1º, Parágrafo único
Páginas: 1147-1147
I - o Tribunal Superior Eleitoral, na condição de órgão responsável pelas seguintes atividades:","I - o Tribunal Superior Eleitoral, na condição de órgão responsável pelas seguintes atividades:","portaria; junho; capitulo; disposicoes; iniciais; paragrafo; unico; tribunal; superior; eleitoral","True","437","109"
"6","6","Codigo_Eleitoral_2026_anotado.pdf","portaria_288_2005","Portaria n. 288 de 9 de junho de 2005","","Normas editadas pelo TSE","Portarias","1148","1148","CAPÍTULO I - DAS DISPOSIÇÕES INICIAIS","alinea","Art. 1º, Parágrafo único, I, a)","Art. 1º, Parágrafo único, I","Art. 1º","Parágrafo único","I","a)","","a) estabelecimento de normas gerais, visando ao disciplinamento da arrecadação, recolhimento e cobrança de multas no âmbito de sua jurisdição;","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Portaria n. 288 de 9 de junho de 2005
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Portarias
Dispositivo: Art. 1º, Parágrafo único, I, a)
Tipo: alinea
Hierarquia: CAPÍTULO I - DAS DISPOSIÇÕES INICIAIS
Dispositivo pai: Art. 1º, Parágrafo único, I
Páginas: 1148-1148
a) estabelecimento de normas gerais, visando ao disciplinamento da arrecadação, recolhimento e cobrança de multas no âmbito de sua jurisdição;","a) estabelecimento de normas gerais, visando ao disciplinamento da arrecadação, recolhimento e cobrança de multas no âmbito de sua jurisdição;","portaria; junho; capitulo; disposicoes; iniciais; paragrafo; unico; estabelecimento; normas; gerais","True","491","122"
"7","7","Codigo_Eleitoral_2026_anotado.pdf","portaria_288_2005","Portaria n. 288 de 9 de junho de 2005","","Normas editadas pelo TSE","Portarias","1148","1148","CAPÍTULO I - DAS DISPOSIÇÕES INICIAIS","alinea","Art. 1º, Parágrafo único, I, b)","Art. 1º, Parágrafo único, I","Art. 1º","Parágrafo único","I","b)","","b) imposição e cobrança de multas no âmbito de sua jurisdição;","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Portaria n. 288 de 9 de junho de 2005
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Portarias
Dispositivo: Art. 1º, Parágrafo único, I, b)
Tipo: alinea
Hierarquia: CAPÍTULO I - DAS DISPOSIÇÕES INICIAIS
Dispositivo pai: Art. 1º, Parágrafo único, I
Páginas: 1148-1148
b) imposição e cobrança de multas no âmbito de sua jurisdição;","b) imposição e cobrança de multas no âmbito de sua jurisdição;","portaria; junho; capitulo; disposicoes; iniciais; paragrafo; unico; imposicao; cobranca; multas","True","411","102"
"8","8","Codigo_Eleitoral_2026_anotado.pdf","portaria_288_2005","Portaria n. 288 de 9 de junho de 2005","","Normas editadas pelo TSE","Portarias","1148","1148","CAPÍTULO I - DAS DISPOSIÇÕES INICIAIS","alinea","Art. 1º, Parágrafo único, I, c)","Art. 1º, Parágrafo único, I","Art. 1º","Parágrafo único","I","c)","","c) centralização dos depósitos feitos pelo agente financeiro arrecadador – Banco do Brasil S.A., relativos ao Fundo Partidário (Fundo Especial de Assistência Financeira aos Partidos Políticos), e distribuição do produto recolhido para os partidos políticos, por intermédio da Secretaria de Administração/TSE (arts. 40 e 41 da Lei n. 9.096/1995 e Res.-TSE n. 21.975/2004);","","[]","0","Lei n. 9.096/1995","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Portaria n. 288 de 9 de junho de 2005
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Portarias
Dispositivo: Art. 1º, Parágrafo único, I, c)
Tipo: alinea
Hierarquia: CAPÍTULO I - DAS DISPOSIÇÕES INICIAIS
Dispositivo pai: Art. 1º, Parágrafo único, I
Páginas: 1148-1148
c) centralização dos depósitos feitos pelo agente financeiro arrecadador – Banco do Brasil S.A., relativos ao Fundo Partidário (Fundo Especial de Assistência Financeira aos Partidos Políticos), e distribuição do produto recolhido para os partidos políticos, por intermédio da Secretaria de Administração/TSE (arts. 40 e 41 da Lei n. 9.096/1995 e Res.-TSE n. 21.975/2004);","c) centralização dos depósitos feitos pelo agente financeiro arrecadador – Banco do Brasil S.A., relativos ao Fundo Partidário (Fundo Especial de Assistência Financeira aos Partidos Políticos), e distribuição do produto recolhido para os...","fundo; partidos; politicos; portaria; junho; capitulo; disposicoes; iniciais; paragrafo; unico","True","720","180"
"9","9","Codigo_Eleitoral_2026_anotado.pdf","portaria_288_2005","Portaria n. 288 de 9 de junho de 2005","","Normas editadas pelo TSE","Portarias","1148","1148","CAPÍTULO I - DAS DISPOSIÇÕES INICIAIS","inciso","Art. 1º, Parágrafo único, II","Art. 1º, Parágrafo único","Art. 1º","Parágrafo único","II","","","II - os Tribunais Regionais Eleitorais, na condição de órgãos gerenciadores do processo de imposição e cobrança das multas eleitorais, no âmbito de suas respectivas jurisdições;","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Portaria n. 288 de 9 de junho de 2005
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Portarias
Dispositivo: Art. 1º, Parágrafo único, II
Tipo: inciso
Hierarquia: CAPÍTULO I - DAS DISPOSIÇÕES INICIAIS
Dispositivo pai: Art. 1º, Parágrafo único
Páginas: 1148-1148
II - os Tribunais Regionais Eleitorais, na condição de órgãos gerenciadores do processo de imposição e cobrança das multas eleitorais, no âmbito de suas respectivas jurisdições;","II - os Tribunais Regionais Eleitorais, na condição de órgãos gerenciadores do processo de imposição e cobrança das multas eleitorais, no âmbito de suas respectivas jurisdições;","eleitorais; portaria; junho; capitulo; disposicoes; iniciais; paragrafo; unico; tribunais; regionais","True","520","130"
"10","10","Codigo_Eleitoral_2026_anotado.pdf","portaria_288_2005","Portaria n. 288 de 9 de junho de 2005","","Normas editadas pelo TSE","Portarias","1148","1148","CAPÍTULO I - DAS DISPOSIÇÕES INICIAIS","inciso","Art. 1º, Parágrafo único, III","Art. 1º, Parágrafo único","Art. 1º","Parágrafo único","III","","","III - os juízos eleitorais, responsáveis pela imposição de penalidades pecuniárias aos infratores da legislação eleitoral, no âmbito de suas respectivas jurisdições.","","[]","0","","","","Documento: Código Eleitoral Anotado e Legislação Complementar 2026
Norma: Portaria n. 288 de 9 de junho de 2005
Macrogrupo: Normas editadas pelo TSE
Grupo do sumário: Portarias
Dispositivo: Art. 1º, Parágrafo único, III
Tipo: inciso
Hierarquia: CAPÍTULO I - DAS DISPOSIÇÕES INICIAIS
Dispositivo pai: Art. 1º, Parágrafo único
Páginas: 1148-1148
III - os juízos eleitorais, responsáveis pela imposição de penalidades pecuniárias aos infratores da legislação eleitoral, no âmbito de suas respectivas jurisdições.","III - os juízos eleitorais, responsáveis pela imposição de penalidades pecuniárias aos infratores da legislação eleitoral, no âmbito de suas respectivas jurisdições.","portaria; junho; capitulo; disposicoes; iniciais; paragrafo; unico; juizos; eleitorais; responsaveis","True","509","127"
