sentido,titulo,data,tipo,num,ano
so_no_ensaio,ATA DA 2ª SESSÃO ORDINÁRIA EM 4 DE JUNHO DE 1932,1932-06-04,ordinaria,2,1932
so_no_ensaio,ATA DA 3ª SESSÃO ORDINÁRIA EM 11 DE JUNHO DE 1932,1932-06-11,ordinaria,3,1932
so_no_ensaio,ATA DA 3ª SESSÃO EXTRAORDINÁRIA EM 1º DE JULHO DE 1932,1932-07-01,extraordinaria,3,1932
so_no_ensaio,ATA DA 15ª SESSÃO ORDINÁRIA EM 3 DE SETEMBRO DE 1932,1932-09-03,ordinaria,15,1932
so_no_ensaio,ATA DA 20ª SESSÃO ORDINÁRIA EM 8 DE OUTUBRO DE 1932,1932-10-08,ordinaria,20,1932
so_no_ensaio,ATA DA 12ª SESSÃO EXTRAORDINÁRIA,,extraordinaria,12,1932
so_no_ensaio,ATA DA 14ª SESSÃO EXTRAORDINÁRIA EM 24 DE NOVEMNRO DE 1932,,extraordinaria,14,1932
so_no_ensaio,ATA DA 7ª SESSÃO ORDINÁRIA EM 24 DE JANEIRO DE 1933,1933-01-24,ordinaria,7,1933
so_no_ensaio,ATA DA 19ª SESSÃO ORDINÁRIA EM 10 DE MARÇO DE 1933,1933-03-10,ordinaria,19,1933
so_no_ensaio,ATA DA 27ª SESSÃO ORDINÁRIA EM 7 DE ABRIL 1933,,ordinaria,27,1933
so_no_ensaio,ATA DA 28ª SESSÃO ORDINÁRIA EM 11 DE ABRIL 1933,,ordinaria,28,1933
so_no_ensaio,ATA DA 29ª SESSÃO ORDINÁRIA EM 15 DE ABRIL 1933,,ordinaria,29,1933
so_no_ensaio,ATA DA 30ª SESSÃO ORDINÁRIA EM 18 DE ABRIL 1933,,ordinaria,30,1933
so_no_ensaio,ATA DA 2ª SESSÃO EXTRAORDINÁRIA EM 22 DE ABRIL 1933,,extraordinaria,2,1933
so_no_ensaio,ATA DA 38ª SESSÃO ORDINÁRIA EM 16 DE MAIO DE 1933,1933-05-16,ordinaria,38,1933
so_no_ensaio,ATA DA 47ª SESSÃO ORDINÁRIA EM 16 DE JUNHO DE 1933,1933-06-16,ordinaria,47,1933
